id,alt_id,title,start_date,end_date,firm_end_date,estimated_time,invitation_count
306,,Les relations entre générations,2014-02-06 15:00:00,2014-03-06 20:00:00,2014-05-31 12:00:00,25,984
307,,"Enquête Santé, Travail et Environnement",2013-12-12 08:00:00,2014-02-06 20:00:00,2014-05-31 12:00:00,30,993
308,,"Le couple, les enfants et la famille",2013-11-05 08:00:00,2013-12-10 20:00:00,2014-05-31 12:00:00,30,983
309,,Environnement & Énergie,2013-10-03 12:00:00,2013-11-07 20:00:00,2014-05-31 12:00:00,30,997
310,,"Loisirs culturels, médias et Internet",2013-06-06 08:00:00,2013-07-11 20:00:00,2014-05-31 12:00:00,30,1011
311,,"Pratiques, croyances et opinions",2013-05-02 08:00:00,2013-06-06 20:00:00,2014-05-31 12:00:00,20,1011
312,,Les élections européennes,2014-05-07 08:00:00,2014-05-23 18:00:00,2014-05-23 18:00:00,5,936
313,,Quelques questions sur l'Europe,2014-05-07 08:00:00,2014-06-05 00:00:00,2014-07-05 00:00:00,25,936
314,,Votre quartier / enjeux politiques,2013-02-27 14:00:00,2013-04-01 08:00:00,2014-05-31 12:00:00,15,731
315,,Vos conditions de vie,2013-04-04 08:00:00,2013-06-06 20:00:00,2014-05-31 12:00:00,20,1012
316,,"Fécondité, contraception, sexualité",2013-07-12 08:00:00,2013-09-05 16:00:00,2014-05-31 12:00:00,30,1005
317,,Les grands sujets de société et la vie citoyenne,2013-09-05 09:00:00,2013-10-07 18:00:00,2014-05-31 12:00:00,30,996
318,,Première enquête ELIPSS,2012-12-17 10:00:00,2014-03-06 20:00:00,2014-05-31 12:00:00,,943
319,,Vos conditions de vie en 2014,2014-03-06 08:00:00,2014-04-14 20:00:00,2014-05-31 12:00:00,25,953
320,,Les élections municipales,2014-03-06 08:00:00,2014-03-21 18:00:00,2014-03-21 18:00:00,5,945
321,,Questions générales sur la société française,2014-04-03 08:00:00,2014-05-12 18:00:00,2014-06-05 12:00:00,10,945
322,,Après les élections municipales,2014-04-03 08:00:00,2014-04-28 12:00:00,2014-06-05 12:00:00,5,945
323,,Après les élections de 2014,2014-06-05 08:00:00,2014-07-18 12:00:00,2014-08-18 23:00:00,25,937
324,,Votre opinion sur les familles,2014-06-05 08:00:00,2014-07-18 12:00:00,2014-08-18 23:00:00,5,937
325,,Le jeu des métiers,2014-07-21 00:00:00,2014-09-25 12:00:00,2014-10-25 12:00:00,25,913
326,,Vos goûts et vos préférences,2014-09-25 08:00:00,2014-11-06 23:00:00,2014-12-06 23:50:00,25,909
327,,Le jeu des portraits,2014-11-06 08:00:00,2014-12-11 23:50:00,2015-01-11 23:00:00,15,898
328,,Modes de vie et société,2014-12-11 00:00:00,2015-02-05 23:50:00,2015-03-05 23:50:00,20,886
329,,Équipements & Énergie (Partie 1),2015-02-09 08:00:00,2015-03-19 23:50:00,2015-04-19 23:00:00,7,882
330,,Équipements & Énergie (Partie 2),2015-02-09 08:00:00,2015-03-19 23:50:00,2015-04-19 23:00:00,5,757
331,,Équipements & Énergie (Partie 3),2015-02-09 08:00:00,2015-03-19 23:50:00,2015-04-19 23:00:00,10,631
332,,Les élections départementales,2015-03-03 08:00:00,2015-03-20 23:50:00,2015-03-20 23:50:00,8,881
333,enq_annuelle_201503,Vos conditions de vie en 2015,2015-03-20 00:00:00,2015-05-11 23:00:00,2015-06-11 23:00:00,25,877
334,postdep201504,Après les élections départementales 2015,2015-04-02 00:00:00,2015-04-30 21:00:00,2015-05-30 21:00:00,10,877
335,MAI2015,Mai 2015,2015-04-29 00:00:00,2015-06-08 23:50:00,2015-07-08 23:50:00,30,871
336,dynamob_201506,Sujets de société,2015-06-10 00:00:00,2015-07-09 23:50:00,2015-08-09 23:50:00,25,865
337,JUILLET2015,"Loisirs culturels, médias et Internet",2015-07-09 00:00:00,2015-10-01 23:50:00,2015-11-01 23:50:00,30,857
338,srclf2015,Vie de quartier,2015-10-02 08:00:00,2015-11-09 23:50:00,2015-12-09 23:50:00,25,843
339,NOVEMBRE2015,Environnement & Énergie,2015-11-05 08:00:00,2015-12-18 23:50:00,2016-01-18 23:50:00,20,838
340,preregionales_201511,Les élections régionales,2015-11-09 08:00:00,2015-12-04 23:50:00,2015-12-04 23:50:00,10,838
341,postregionales_201512,Après les élections régionales 2015,2015-12-17 08:00:00,2016-01-18 23:50:00,2016-02-18 23:50:00,10,831
342,preface2016,Vous et les services publics,2016-01-14 08:00:00,2016-03-03 23:50:00,2016-04-03 23:50:00,25,828
343,FEVRIER2016,Mobilités et souvenirs de voyage,2016-03-03 08:00:00,2016-04-07 23:50:00,2016-04-14 23:50:00,30,822
344,MARS2016,Première enquête ELIPSS,2016-03-15 23:00:00,2016-10-20 23:50:00,2016-10-27 23:50:00,20,2505
345,ea2016_201604,Vos conditions de vie en 2016,2016-04-07 08:00:00,2016-05-23 23:50:00,2016-05-30 23:50:00,30,817
346,MAI2016_TARIFEAU,Tarification sociale de l'eau du robinet,2016-05-19 08:00:00,2016-06-23 23:00:00,2016-06-30 23:00:00,15,2697
347,MAI2016_LIVMOB,Achats sur Internet,2016-05-19 08:00:00,2016-06-23 23:00:00,2016-06-30 23:00:00,15,2697
348,SHAMA_201607,Habitat et alimentation,2016-06-29 00:00:00,2016-09-08 23:50:00,2016-09-15 23:50:00,30,2990
349,dynamob_201609,Les grands sujets de société et la vie citoyenne,2016-09-08 08:00:00,2016-10-20 23:50:00,2016-10-27 23:50:00,30,3232
350,ELIPSSILICE_201610,"Santé, travail et environnement",2016-10-20 00:00:00,2016-11-30 23:50:00,2016-12-07 23:50:00,30,3180
351,_201704_ludenquete,Les jeux de société et vous,2017-04-06 08:00:00,2017-05-11 21:00:00,2017-05-18 23:50:00,25,2981
352,_201705_dynamob,Les grands sujets de société après l'élection présidentielle 2017,2017-05-11 12:00:00,2017-06-09 23:50:00,2017-06-09 23:50:00,25,2959
353,_201706_series,Les séries télévisées,2017-06-14 12:00:00,2017-07-19 23:50:00,2017-07-26 23:50:00,30,2946
354,_201706_dynamob,Après les élections législatives 2017,2017-06-19 12:00:00,2017-07-19 23:50:00,2017-07-26 23:50:00,5,2946
355,_201707_panels_europeens,Opinions en Europe,2017-07-11 12:00:00,2017-09-21 23:50:00,2017-09-28 23:50:00,10,2920
356,_201705_pratiques_numeriques,Informatique et Internet,2017-07-11 12:00:00,2017-09-21 23:50:00,2017-09-28 23:50:00,10,2920
357,_201707_glocalmap,Territoires de prédilection,2017-09-21 12:00:00,2017-10-26 23:50:00,2017-11-02 23:50:00,20,2888
358,_201710_sven,Styles de vie et environnement,2017-10-26 12:00:00,2017-11-30 23:50:00,2017-12-07 23:50:00,25,2841
359,_201712_dynamob,Les grands sujets de société et la vie citoyenne,2017-11-30 12:00:00,2018-01-11 23:50:00,2018-01-14 23:50:00,5,2817
360,_201711_flip,Culture financière et comportements patrimoniaux en France,2017-11-30 12:00:00,2018-01-11 23:50:00,2018-01-14 23:50:00,25,2817
361,_201711_flip_results,Culture financière et comportements patrimoniaux en France : Les réponses,2017-11-30 12:00:00,2018-01-11 23:50:00,2018-01-14 23:50:00,,2301
362,_201801_justirep,Les rapports à la justice et à l'État,2018-01-18 12:00:00,2018-02-22 23:50:00,2018-03-01 23:50:00,25,2770
363,_201802_panamo,Vos déplacements quotidiens,2018-02-22 12:00:00,2018-03-29 23:50:00,2018-04-05 23:50:00,25,2750
364,_201806_psychofood,Traits de caractère et alimentation,2018-06-07 15:10:00,2018-07-19 23:50:00,2018-07-26 23:50:00,30,2655
365,_201803_ea18,Vos conditions de vie en 2018,2018-03-29 09:00:00,2018-05-27 23:50:00,2018-05-27 23:50:00,25,2712
366,_201805_pvf,Les pratiques de loisirs culturels,2018-04-26 14:00:00,2018-06-07 23:50:00,2018-06-14 23:50:00,30,2688
367,_201805_pvf_results,Les pratiques de loisirs culturels : Les réponses,2018-04-26 12:00:00,2018-06-07 23:50:00,2018-06-13 23:50:00,,2295
368,_201807_pratnum,Informatique et Internet,2018-07-12 12:00:00,2018-09-20 23:50:00,2018-09-27 23:50:00,10,2631
369,_201809_popaware,Démo et débats,2018-09-20 16:00:00,2018-10-25 23:50:00,2018-11-01 23:50:00,25,2592
370,_201809_popaware_results,Démo et débats : Les réponses,2018-09-19 15:00:00,2018-10-25 23:50:00,2018-11-01 23:50:00,,2151
371,_201810_tempo,Perception des conditions d’emploi,2018-10-25 14:40:00,2018-11-29 23:50:00,2018-12-06 23:50:00,25,2569
372,_201812_frameinequal,Les inégalités de revenus,2018-11-29 15:00:00,2019-01-10 23:50:00,2019-01-17 23:50:00,20,2539
373,_201901_mediaterr,L'actualité dans les médias,2019-01-10 15:00:00,2019-02-14 23:50:00,2019-02-21 23:50:00,25,2522
374,_201902_enq_panelistes_rest,Votre expérience ELIPSS,2019-02-14 12:00:00,2019-03-21 23:50:00,2019-03-28 23:50:00,2,2481
375,_201902_panamo,Vos déplacements quotidiens,2019-02-14 12:00:00,2019-03-21 23:50:00,2019-03-28 23:50:00,25,2481
376,_201903_ea19,Vos conditions de vie en 2019,2019-03-21 12:00:00,2019-05-09 23:50:00,2019-05-20 23:50:00,30,2454
377,_201904_capsoc,Relations sociales et réseaux personnels,2019-04-25 12:00:00,2019-06-06 23:50:00,2019-06-13 23:50:00,30,2424
378,_201905_NatInterest,Naturbanisation,2019-05-23 12:00:00,2019-06-30 23:50:00,2019-07-01 23:50:00,10,2405
379,_201906_psysoc,Culture et personnalité,2019-05-23 12:00:00,2019-06-30 23:50:00,2019-07-01 23:50:00,20,2405
380,_201905_cee,Questions d'actualité après les élections européennes,2019-05-27 08:00:00,2019-06-30 23:50:00,2019-07-01 23:50:00,20,2405
381,_201906_formulaire_2,Votre participation à ELIPSS,2019-06-25 12:00:00,2019-09-15 23:50:00,2019-09-15 23:50:00,,1791
